Ciudad;Provincia;matched_ciudad;measure value
25 de Mayo;Buenos Aires;25 de Mayo;0
28 de Noviembre;Santa Cruz;28 de Noviembre;0
30 de Agosto;Buenos Aires;30 de Agosto;0
9 de Julio;Buenos Aires;9 de Julio;0
Abra Pampa;Jujuy;Abra Pampa;0
Acebal;Santa Fe;Acébal;1
Achiras;Córdoba;Achiras;0
Adelia María;Córdoba;Adelia María;0
Aguilares;Tucumán;Aguilares;0
Aimogasta;La Rioja;Aimogasta;0
Alberti;Buenos Aires;Alberti;0
Alcira Gigena;Córdoba;Alcira Gigena;0
Alcorta;Santa Fe;Alcorta;0
Alejandro Roca;Córdoba;Alejandro Roca;0
Allen;Río Negro;Allen;0
Almirante Brown;Buenos Aires;Almirante Brown;0
Alta Gracia;Córdoba;Alta Gracia;0
Alta Italia;La Pampa;Alta Italia;0
Alvarez;Santa Fe;Álvarez;1
América;Buenos Aires;América;0
Andalgala;Catamarca;Andalgalá;1
Andalgalá;Catamarca;Andalgalá;0
Angélica;Santa Fe;Angélica;0
Apóstoles;Misiones;Apóstoles;0
Arata;La Pampa;Arata;0
Arequito;Santa Fe;Arequito;0
Arias;Córdoba;Arias;0
Armstrong;Santa Fe;Armstrong;0
Arrecifes;Buenos Aires;Arrecifes;0
Arroyito;Córdoba;Arroyito;0
Arroyo Seco;Santa Fe;Arroyo Seco;0
Arteaga;Santa Fe;Arteaga;0
Ascensión;Buenos Aires;Ascensión;0
Avellaneda;Buenos Aires;Avellaneda;0
Avellaneda;Santa Fe ;Avellaneda;0
Ayacucho;Buenos Aires;Ayacucho;0
Azul;Buenos Aires;Azul;0
Añatuya;Santiago del Estero;Añatuya;0
Bahía Blanca;Buenos Aires;Bahía Blanca;0
Balcarce;Buenos Aires;Balcarce;0
Balnearia;Córdoba;Balnearia;0
Banda del rio Sali;Tucumán;Banda del Río Salí;2
Banda del Rio Sali;Tucumán;Banda del Río Salí;2
Banderas;Santiago del Estero;Bandera;1
Baradero;Buenos Aires;Baradero;0
Barrancas;Santa Fe;Barrancas;0
Barranqueras;Chaco;Barranqueras;0
Basavilbaso;Entre Ríos;Basavilbaso;0
Bell Ville;Córdoba;Bell Ville;0
Bella Vista;Buenos Aires;Bella Vista;0
Bella Vista;Chaco;Bella Vista;0
Bella Vista;Corrientes;Bella Vista;0
Belén;Catamarca;Belén;0
Bengoolea;Córdoba;Bengolea;1
Benito Juarez;Buenos Aires;Benito Juárez;1
Benito Juárez;Buenos Aires;Benito Juárez;0
Berazategui;Buenos Aires;Berazategui;0
Berisso;Buenos Aires;Berisso;0
Bernal;Buenos Aires;Berna;1
Berrotarán;Córdoba;Berrotarán;0
Bialet Massé;Córdoba;Bialet Massé;0
Bigand;Santa Fe;Bigand;0
Blaquier;Buenos Aires;Blaquier;0
Bolsón;Rio Negro;Colón;2
Bonpland;Corrientes;Bonpland;0
Bouquet;Santa Fe;Bouquet;0
Bovril;Entre Ríos;Bovril;0
Bowen;Mendoza;Bowen;0
Bragado;Buenos Aires;Bragado;0
Brinckmann;Córdoba;Brinkmann;1
Brinkmann;Córdoba;Brinkmann;0
Cacharí;Buenos Aires;Cacharí;0
Cafayate;Salta;Cafayate;0
Calafate;Santa Cruz;Cafayate;2
Calchaqui;Santa Fe;Calchaquí;1
Calchaquí;Santa Fe;Calchaquí;0
Calchaquí;Santa Fe ;Calchaquí;0
Caleta Oliva;Santa Cruz;Caleta Olivia;1
Caleta Olivia;Santa Cruz;Caleta Olivia;0
Caleta Olivia;Santa Cruz ;Caleta Olivia;0
Caleufú;La Pampa;Caleufú;0
Camarones;Chubut;Camarones;0
Campana;Buenos Aires;Campana;0
Campo Grande;Misiones;Campo Grande;0
Campo Largo;Chaco;Campo Largo;0
Campo Viera;Misiones;Campo Viera;0
Canals;Córdoba;Canals;0
Candelaria;Misiones;Candelaria;0
Capilla del Señor;Buenos Aires;Capilla del Señor;0
Capiovy;Misiones;Capioví;1
Capioví;Misiones;Capioví;0
Capitán Bermudez;Santa Fe;Capitán Bermúdez;1
Capitán Sarmiento;Buenos Aires;Capitán Sarmiento;0
Carcaraña;Santa Fe;Carcarañá;1
Carcarañá;Santa Fe;Carcarañá;0
Carhué;Buenos Aires;Carhué;0
