Ciudad;Provincia;match;measure value
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
Ciudad Autónoma de Buenos Aires;Capital Federal;;
